action_id,entity_id,action_type,effort_hours,expected_lift_pct,status
ACT0001,AUT009,prioritize,29,5.6,Complete
ACT0002,AUT013,prioritize,3,10.1,Ready
ACT0003,AUT003,prioritize,37,23.4,Proposed
ACT0004,AUT032,monitor,28,20.9,Proposed
ACT0005,AUT004,escalate,36,15.2,Ready
ACT0006,AUT034,document,18,10.8,In Review
ACT0007,AUT021,monitor,29,8.8,In Review
ACT0008,AUT016,automate,11,4.1,Complete
ACT0009,AUT017,validate,34,19.0,Ready
ACT0010,AUT032,monitor,9,7.1,Proposed
ACT0011,AUT010,escalate,20,21.2,Complete
ACT0012,AUT013,monitor,42,17.9,Complete
ACT0013,AUT036,document,7,10.3,In Review
ACT0014,AUT021,monitor,22,10.1,Complete
ACT0015,AUT017,prioritize,15,7.1,Proposed
ACT0016,AUT001,validate,8,23.5,Complete
ACT0017,AUT026,automate,43,10.1,Proposed
ACT0018,AUT015,document,15,17.3,Proposed
ACT0019,AUT026,monitor,31,17.3,In Review
ACT0020,AUT025,document,9,21.8,In Review
ACT0021,AUT011,monitor,13,20.5,Proposed
ACT0022,AUT011,escalate,16,14.1,Proposed
ACT0023,AUT008,escalate,37,5.7,In Review
ACT0024,AUT007,escalate,5,9.9,Proposed
ACT0025,AUT001,escalate,22,15.2,In Review
ACT0026,AUT035,prioritize,16,14.3,Ready
ACT0027,AUT017,document,27,7.7,In Review
ACT0028,AUT010,monitor,27,2.7,Ready
ACT0029,AUT017,validate,23,3.1,Complete
ACT0030,AUT014,prioritize,5,23.4,Ready
ACT0031,AUT007,document,23,19.9,Complete
ACT0032,AUT021,document,30,8.9,In Review
ACT0033,AUT027,prioritize,19,4.5,Ready
ACT0034,AUT028,prioritize,3,14.5,Proposed
ACT0035,AUT023,monitor,44,7.6,Ready
ACT0036,AUT004,prioritize,41,6.3,Proposed
ACT0037,AUT028,automate,10,10.9,Ready
ACT0038,AUT032,validate,35,9.0,In Review
ACT0039,AUT019,document,7,13.5,In Review
ACT0040,AUT036,validate,8,14.6,Complete
ACT0041,AUT025,prioritize,18,21.1,Complete
ACT0042,AUT021,prioritize,12,10.8,In Review
ACT0043,AUT017,document,30,13.7,Ready
ACT0044,AUT012,automate,31,14.4,Complete
ACT0045,AUT025,monitor,4,13.1,Proposed
ACT0046,AUT027,automate,37,8.3,In Review
ACT0047,AUT026,validate,9,9.2,In Review
ACT0048,AUT035,validate,43,19.7,In Review
ACT0049,AUT036,prioritize,38,2.7,Ready
ACT0050,AUT009,escalate,28,22.3,Proposed
ACT0051,AUT008,prioritize,4,11.8,In Review
ACT0052,AUT007,monitor,29,19.4,Complete
ACT0053,AUT011,validate,43,13.8,Ready
ACT0054,AUT009,prioritize,30,8.3,Ready
ACT0055,AUT014,document,10,4.1,Complete
ACT0056,AUT029,monitor,32,17.0,Proposed
ACT0057,AUT001,escalate,7,11.4,Complete
ACT0058,AUT012,document,6,19.8,Proposed
ACT0059,AUT026,monitor,3,7.3,In Review
ACT0060,AUT031,document,20,7.6,Complete
ACT0061,AUT019,prioritize,40,8.5,Complete
ACT0062,AUT009,prioritize,10,12.0,Ready
ACT0063,AUT010,document,32,16.7,Complete
ACT0064,AUT014,escalate,35,19.3,Complete
ACT0065,AUT033,prioritize,17,13.7,Ready
ACT0066,AUT028,prioritize,30,11.7,Proposed
ACT0067,AUT001,document,11,13.9,Complete
ACT0068,AUT022,monitor,5,4.9,Proposed
ACT0069,AUT004,escalate,18,17.4,Proposed
